Model,Batch_size,Optimizer,Criterion,Best Score
UNetFormer-res2next50,8,sgd,CE+,0.06668499696220442
UNetFormer-res2next50,8,sgd,MCC+,0.06661151616731957
UNetFormer-seresnet152d,8,adam,CE,0.3722367103395783
UNetFormer-seresnet152d,8,adam,Focal,0.2338044343490631
UNetFormer-seresnet152d,8,adam,Jaccard,0.46165554539817216
UNetFormer-seresnet152d,8,adam,Dice,0.4569584830587418
UNetFormer-seresnet152d,8,adam,MCC,0.45496793819369236
UNetFormer-seresnet152d,8,adam,CE+,0.38907885905932
UNetFormer-seresnet152d,8,adam,MCC+,0.3942384665420725
UNetFormer-seresnet152d,8,sgd,CE,0.060363909599365204
UNetFormer-seresnet152d,8,sgd,Focal,0.05128635026397065
UNetFormer-seresnet152d,8,sgd,Jaccard,0.061263957422548934
UNetFormer-seresnet152d,8,sgd,Dice,0.05827015339647376
UNetFormer-seresnet152d,8,sgd,MCC,0.0549197064314939
UNetFormer-seresnet152d,8,sgd,CE+,0.06685141960301574
UNetFormer-seresnet152d,8,sgd,MCC+,0.06753700640454363
UNetFormer-swsl-resnet18,8,adam,CE,0.3119649669740181
UNetFormer-swsl-resnet18,8,adam,Focal,0.18821317553803726
UNetFormer-swsl-resnet18,8,adam,Jaccard,0.39282722643825374
UNetFormer-swsl-resnet18,8,adam,Dice,0.39877097750600277
UNetFormer-swsl-resnet18,8,adam,MCC,0.3865798002406804
UNetFormer-swsl-resnet18,8,adam,CE+,0.32729513163138624
UNetFormer-swsl-resnet18,8,adam,MCC+,0.32853260978558674
UNetFormer-swsl-resnet18,8,sgd,CE,0.06070400380744195
UNetFormer-swsl-resnet18,8,sgd,Focal,0.052284833271052225
UNetFormer-swsl-resnet18,8,sgd,Jaccard,0.0676747610139506
UNetFormer-swsl-resnet18,8,sgd,Dice,0.05580579387530192
UNetFormer-swsl-resnet18,8,sgd,MCC,0.05488045174678241
UNetFormer-swsl-resnet18,8,sgd,CE+,0.07249355485410992
UNetFormer-swsl-resnet18,8,sgd,MCC+,0.06289985147942853
UNetFormer-res2net101-26w-4s,16,adam,CE,0.3425094159679445
UNetFormer-res2net101-26w-4s,16,adam,Focal,0.18962297858663235
UNetFormer-res2net101-26w-4s,16,adam,Jaccard,0.4352585684636838
UNetFormer-res2net101-26w-4s,16,adam,Dice,0.43466932661365953
UNetFormer-res2net101-26w-4s,16,adam,MCC,0.39033860145985705
UNetFormer-res2net101-26w-4s,16,adam,CE+,0.35119063188291044
UNetFormer-res2net101-26w-4s,16,adam,MCC+,0.35460576425446005
UNetFormer-res2net101-26w-4s,16,sgd,CE,0.05385566684396568
UNetFormer-res2net101-26w-4s,16,sgd,Focal,0.05277160629636613
UNetFormer-res2net101-26w-4s,16,sgd,Jaccard,0.05719470261167613
UNetFormer-res2net101-26w-4s,16,sgd,Dice,0.05526935384642931
UNetFormer-res2net101-26w-4s,16,sgd,MCC,0.05747380591801333
UNetFormer-res2net101-26w-4s,16,sgd,CE+,0.0607156808789865
UNetFormer-res2net101-26w-4s,16,sgd,MCC+,0.05858992582849841
UNetFormer-res2next50,16,adam,CE,0.34725219739446245
UNetFormer-res2next50,16,adam,Focal,0.20530079294785933
UNetFormer-res2next50,16,adam,Jaccard,0.43094404543064785
UNetFormer-res2next50,16,adam,Dice,0.43384887702778424
UNetFormer-res2next50,16,adam,MCC,0.40452635713843493
UNetFormer-res2next50,16,adam,CE+,0.3612301245310569
UNetFormer-res2next50,16,adam,MCC+,0.3767839619480701
UNetFormer-res2next50,16,sgd,CE,0.06172553215217051
UNetFormer-res2next50,16,sgd,Focal,0.05505153143779689
UNetFormer-res2next50,16,sgd,Jaccard,0.056671995899023386
UNetFormer-res2next50,16,sgd,Dice,0.05829550698988244
UNetFormer-res2next50,16,sgd,MCC,0.053716439006403445
UNetFormer-res2next50,16,sgd,CE+,0.062384301334502554
UNetFormer-res2next50,16,sgd,MCC+,0.05645087227678588
UNetFormer-seresnet152d,16,adam,CE,0.38120953568453764
UNetFormer-seresnet152d,16,adam,Focal,0.22676024500097097
UNetFormer-seresnet152d,16,adam,Jaccard,0.46898727752220465
UNetFormer-seresnet152d,16,adam,Dice,0.5555180490215904
UNetFormer-seresnet152d,16,adam,MCC,0.4279188957336828
UNetFormer-seresnet152d,16,adam,CE+,0.385216406749301
UNetFormer-seresnet152d,16,adam,MCC+,0.39913521604067564
UNetFormer-seresnet152d,16,sgd,CE,0.05801340653948975
UNetFormer-seresnet152d,16,sgd,Focal,0.055135330790375046
UNetFormer-seresnet152d,16,sgd,Jaccard,0.05727926359691082
UNetFormer-seresnet152d,16,sgd,Dice,0.05418546349505465
UNetFormer-seresnet152d,16,sgd,MCC,0.05470115072542423
UNetFormer-seresnet152d,16,sgd,CE+,0.05860528706296009
UNetFormer-seresnet152d,16,sgd,MCC+,0.05709251954010597
UNetFormer-swsl-resnet18,16,adam,CE,0.3213603325847069
UNetFormer-swsl-resnet18,16,adam,Focal,0.18329199607183494
UNetFormer-swsl-resnet18,16,adam,Jaccard,0.40731539828701224
UNetFormer-swsl-resnet18,16,adam,Dice,0.4023880129192074
UNetFormer-swsl-resnet18,16,adam,MCC,0.3786252492649134
UNetFormer-swsl-resnet18,16,adam,CE+,0.3275626834936741
UNetFormer-swsl-resnet18,16,adam,MCC+,0.3345531173273704
UNetFormer-swsl-resnet18,16,sgd,CE,0.05930417977887591
UNetFormer-swsl-resnet18,16,sgd,Focal,0.05842315410137397
UNetFormer-swsl-resnet18,16,sgd,Jaccard,0.05903701074356851
UNetFormer-swsl-resnet18,16,sgd,Dice,0.05621680033120514
UNetFormer-swsl-resnet18,16,sgd,MCC,0.05383194352840865
UNetFormer-swsl-resnet18,16,sgd,CE+,0.06054731516959415
UNetFormer-swsl-resnet18,16,sgd,MCC+,0.06397034859004258
